[09-Jan-2015 13:23:09 Europe/Kiev] PHP Catchable fatal error:  Argument 1 passed to DOMXPath::__construct() must be an instance of DOMDocument, instance of DOMElement given, called in D:\workspace\alexandar\classes\KDGParser.php on line 31 and defined in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 62
[09-Jan-2015 13:27:31 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::getElementsByTagName() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 62
[09-Jan-2015 13:27:47 Europe/Kiev] PHP Warning:  get_class_methods() expects exactly 1 parameter, 2 given in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 62
[09-Jan-2015 13:27:47 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::getElementsByTagName() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 64
[09-Jan-2015 13:30:00 Europe/Kiev] PHP Fatal error:  Call to undefined method DOMNodeList::count() in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 62
[09-Jan-2015 13:31:52 Europe/Kiev] PHP Catchable fatal error:  Argument 1 passed to DOMXPath::__construct() must be an instance of DOMDocument, instance of DOMElement given, called in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 71 and defined in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 25
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 13:57:27 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$class in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 37
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:21 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:51 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:53 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$title in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
[09-Jan-2015 14:00:53 Europe/Kiev] PHP Notice:  Undefined property: DOMElement::$href in D:\workspace\alexandar\classes\parsers\Xbox360ContentPageParser.php on line 54
